benchmark,memory,pf_level,parameter_family,parameter_name,rank,config,simSeconds,baseline_simSeconds,speedup,pfIssued,pfUseful,pfUnused,accuracy,coverage,pfLate,pfTimely,run_name
matmult,ddr4_2x,l2,epoch,epoch_cycles,2,epoch128k,0.001197,0.001287,1.0751879699248121,53494.0,3315.0,77.0,0.06197,0.860815,48932.0,4562.0,matmult_ampm_epoch128k_l2_ddr4_2x
matmult,ddr4_2x,l2,hz,hot_zone_size,1,hz2k,0.001187,0.001287,1.08424599831508,51522.0,4476.0,46.0,0.086876,0.909941,46829.0,4693.0,matmult_ampm_hz2k_l2_ddr4_2x
matmult,ddr4_2x,l2,hz,hot_zone_size,2,hz4k,0.001188,0.001287,1.0833333333333333,86366.0,4467.0,52.0,0.051722,0.90885,81661.0,4705.0,matmult_ampm_hz4k_l2_ddr4_2x
matmult,ddr4_2x,l2,ls,limit_stride,1,ls16,0.001196,0.001287,1.076086956521739,53405.0,3237.0,81.0,0.060612,0.851618,48865.0,4540.0,matmult_ampm_ls16_l2_ddr4_2x
matmult,ddr4_2x,l2,ls,limit_stride,2,ls8,0.001196,0.001287,1.076086956521739,32303.0,3230.0,73.0,0.099991,0.856991,27736.0,4567.0,matmult_ampm_ls8_l2_ddr4_2x
matmult,ddr4_2x,l2,sd,start_degree,1,sd16,0.00119,0.001287,1.0815126050420167,54024.0,3334.0,101.0,0.061713,0.863507,49403.0,4621.0,matmult_ampm_sd16_l2_ddr4_2x
matmult,ddr4_2x,l2,sd,start_degree,2,sd8,0.001196,0.001287,1.076086956521739,52664.0,3306.0,84.0,0.062775,0.867489,48048.0,4616.0,matmult_ampm_sd8_l2_ddr4_2x
merge,ddr4_1x,l1d,amt,access_map_table_entries,1,amt16,0.009751,0.01162,1.1916726489590812,809537.0,139448.0,2884.0,0.172256,0.943523,610911.0,198626.0,merge_ampm_amt16_l1d_ddr4_1x
merge,ddr4_1x,l1d,amt,access_map_table_entries,2,amt32,0.009762,0.01162,1.1903298504404836,605746.0,117939.0,1581.0,0.1947,0.910346,412703.0,193043.0,merge_ampm_amt32_l1d_ddr4_1x
merge,ddr4_1x,l1d,assoc,access_map_table_assoc,1,assoc16,0.009785,0.01162,1.1875319366377108,2107744.0,129668.0,5149.0,0.06152,0.704078,1950948.0,156796.0,merge_ampm_assoc16_l1d_ddr4_1x
merge,ddr4_1x,l1d,assoc,access_map_table_assoc,2,assoc2,0.009786,0.01162,1.1874105865522175,2122848.0,130832.0,4875.0,0.06163,0.698411,1968327.0,154521.0,merge_ampm_assoc2_l1d_ddr4_1x
merge,ddr4_1x,l1d,default,default,1,default,0.009783,0.01162,1.1877747112337729,2098777.0,129587.0,5149.0,0.061744,0.703593,1942074.0,156703.0,merge_ampm_default_l1d_ddr4_1x
merge,ddr4_1x,l1d,epoch,epoch_cycles,1,epoch1024k,0.009773,0.01162,1.18899007469559,2058873.0,131024.0,5185.0,0.063639,0.70618,1902124.0,156749.0,merge_ampm_epoch1024k_l1d_ddr4_1x
merge,ddr4_1x,l1d,epoch,epoch_cycles,2,epoch128k,0.009776,0.01162,1.1886252045826513,2123440.0,129805.0,5149.0,0.06113,0.703943,1966735.0,156705.0,merge_ampm_epoch128k_l1d_ddr4_1x
merge,ddr4_1x,l1d,hz,hot_zone_size,1,hz1k,0.009751,0.01162,1.1916726489590812,809537.0,139448.0,2884.0,0.172256,0.943523,610911.0,198626.0,merge_ampm_hz1k_l1d_ddr4_1x
merge,ddr4_1x,l1d,hz,hot_zone_size,2,hz512,0.009762,0.01162,1.1903298504404836,605746.0,117939.0,1581.0,0.1947,0.910346,412703.0,193043.0,merge_ampm_hz512_l1d_ddr4_1x
