run,benchmark,prefetcher,stage,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused
merge_imp3_s64_dist8_addr16_l2_ddr4_2x,merge,imp,stage3,s64_dist8_addr16,l2,ddr4_2x,0.010401,10401107481.0,37919564.0,31234557.0,1.214027,892264.0,11157468.0,24554.0,201392.0,nan,nan,nan,600627.0,47524.0,337.0
merge_imp3_s64_ipd16_addr16_l1d_ddr4_1x,merge,imp,stage3,s64_ipd16_addr16,l1d,ddr4_1x,0.010113,10113311898.0,37919439.0,30370306.0,1.248571,798466.0,10959649.0,73792.0,214239.0,368099.0,70950.0,6858.0,nan,nan,nan
merge_imp3_s64_ipd8_addr8_l1d_ddr4_1x,merge,imp,stage3,s64_ipd8_addr8,l1d,ddr4_1x,0.010113,10113311898.0,37919439.0,30370306.0,1.248571,798466.0,10959649.0,73792.0,214239.0,368099.0,70950.0,6858.0,nan,nan,nan
merge_imp3_s64_ipd8_addr8_l2_ddr4_1x,merge,imp,stage3,s64_ipd8_addr8,l2,ddr4_1x,0.010573,10573056360.0,37919492.0,31750920.0,1.194281,893147.0,11163710.0,24937.0,201511.0,nan,nan,nan,605153.0,47255.0,335.0
merge_imp3_s64_l2_ddr4_1x,merge,imp,stage3,s64,l2,ddr4_1x,0.010573,10573056360.0,37919492.0,31750920.0,1.194281,893147.0,11163710.0,24937.0,201511.0,nan,nan,nan,605153.0,47255.0,335.0
merge_imp3_s64_sth2_dist32_ipd16_addr16_l2_ddr4_2x,merge,imp,stage3,s64_sth2_dist32_ipd16_addr16,l2,ddr4_2x,0.010401,10401033555.0,37919564.0,31234335.0,1.214036,892246.0,11157424.0,24547.0,201392.0,nan,nan,nan,600664.0,47531.0,378.0
merge_imp3_s64_sth2_dist32_ipd16_l1d_ddr4_2x,merge,imp,stage3,s64_sth2_dist32_ipd16,l1d,ddr4_2x,0.010072,10071841743.0,37919536.0,30245771.0,1.253715,788238.0,10959161.0,73812.0,214590.0,368746.0,72417.0,7008.0,nan,nan,nan
merge_imp3_s64_sth2_l1d_ddr4_2x,merge,imp,stage3,s64_sth2,l1d,ddr4_2x,0.010072,10071841743.0,37919536.0,30245771.0,1.253715,788238.0,10959161.0,73812.0,214590.0,368746.0,72417.0,7008.0,nan,nan,nan
merge_imp3_s64_sth8_l1d_ddr4_2x,merge,imp,stage3,s64_sth8,l1d,ddr4_2x,0.010072,10071926325.0,37919536.0,30246025.0,1.253705,789626.0,10959367.0,73659.0,214282.0,368372.0,71861.0,6830.0,nan,nan,nan
merge_imp3_s64_sth8_pt8_l1d_ddr4_1x,merge,imp,stage3,s64_sth8_pt8,l1d,ddr4_1x,0.01012,10120441095.0,37919455.0,30391715.0,1.247692,797795.0,10959687.0,73334.0,212085.0,345458.0,69569.0,6095.0,nan,nan,nan
merge_imp3_s64_sth8_pt8_l1d_ddr4_2x,merge,imp,stage3,s64_sth8_pt8,l1d,ddr4_2x,0.010067,10067462460.0,37919489.0,30232620.0,1.254259,787414.0,10959189.0,73329.0,212160.0,348480.0,71210.0,6091.0,nan,nan,nan
quick_imp3_s32_dist32_addr16_l1d_ddr4_1x,quick,imp,stage3,s32_dist32_addr16,l1d,ddr4_1x,0.008422,8421500070.0,24424723.0,25289790.0,0.966219,48062.0,9161629.0,28509.0,86918.0,174498.0,74561.0,2246.0,nan,nan,nan
quick_imp3_s32_dist32_addr16_l1d_ddr4_2x,quick,imp,stage3,s32_dist32_addr16,l1d,ddr4_2x,0.008388,8388313290.0,24424723.0,25190130.0,0.970042,46732.0,9161063.0,28533.0,86999.0,172896.0,74633.0,2323.0,nan,nan,nan
quick_imp3_s32_dist32_addr16_l2_ddr4_1x,quick,imp,stage3,s32_dist32_addr16,l2,ddr4_1x,0.008652,8652488517.0,24424723.0,25983449.0,0.940425,234259.0,9220556.0,2191.0,82825.0,nan,nan,nan,28315.0,26303.0,19.0
quick_imp3_s32_dist32_addr16_l2_ddr4_2x,quick,imp,stage3,s32_dist32_addr16,l2,ddr4_2x,0.008626,8626164534.0,24424723.0,25904398.0,0.943295,233143.0,9219528.0,2193.0,82824.0,nan,nan,nan,28397.0,26300.0,19.0
quick_imp3_s32_dist8_addr16_l2_ddr4_1x,quick,imp,stage3,s32_dist8_addr16,l2,ddr4_1x,0.008652,8652488517.0,24424723.0,25983449.0,0.940425,234259.0,9220556.0,2191.0,82825.0,nan,nan,nan,28315.0,26303.0,19.0
quick_imp3_s32_dist8_addr16_l2_ddr4_2x,quick,imp,stage3,s32_dist8_addr16,l2,ddr4_2x,0.008626,8626164534.0,24424723.0,25904398.0,0.943295,233143.0,9219528.0,2193.0,82824.0,nan,nan,nan,28397.0,26300.0,19.0
quick_imp3_s32_ipd16_addr16_l1d_ddr4_2x,quick,imp,stage3,s32_ipd16_addr16,l1d,ddr4_2x,0.008388,8388313290.0,24424723.0,25190130.0,0.970042,46732.0,9161063.0,28533.0,86999.0,172896.0,74633.0,2323.0,nan,nan,nan
quick_imp3_s32_ipd8_addr8_l1d_ddr4_1x,quick,imp,stage3,s32_ipd8_addr8,l1d,ddr4_1x,0.008422,8421500070.0,24424723.0,25289790.0,0.966219,48062.0,9161629.0,28509.0,86918.0,174498.0,74561.0,2246.0,nan,nan,nan
quick_imp3_s32_ipd8_addr8_l1d_ddr4_2x,quick,imp,stage3,s32_ipd8_addr8,l1d,ddr4_2x,0.008388,8388313290.0,24424723.0,25190130.0,0.970042,46732.0,9161063.0,28533.0,86999.0,172896.0,74633.0,2323.0,nan,nan,nan
quick_imp3_s32_l1d_ddr4_2x,quick,imp,stage3,s32,l1d,ddr4_2x,0.008388,8388313290.0,24424723.0,25190130.0,0.970042,46732.0,9161063.0,28533.0,86999.0,172896.0,74633.0,2323.0,nan,nan,nan
quick_imp3_s32_l2_ddr4_1x,quick,imp,stage3,s32,l2,ddr4_1x,0.008652,8652488517.0,24424723.0,25983449.0,0.940425,234259.0,9220556.0,2191.0,82825.0,nan,nan,nan,28315.0,26303.0,19.0
quick_imp3_s32_sth2_dist32_ipd16_addr16_l2_ddr4_2x,quick,imp,stage3,s32_sth2_dist32_ipd16_addr16,l2,ddr4_2x,0.008626,8625947085.0,24424723.0,25903745.0,0.943319,233112.0,9219504.0,2186.0,82824.0,nan,nan,nan,28502.0,26307.0,80.0
quick_imp3_s32_sth8_pt8_l1d_ddr4_1x,quick,imp,stage3,s32_sth8_pt8,l1d,ddr4_1x,0.008424,8424332568.0,24424723.0,25298296.0,0.965894,49278.0,9162190.0,28496.0,86831.0,175146.0,74182.0,2177.0,nan,nan,nan
quick_imp3_s64_dist32_addr16_l1d_ddr4_1x,quick,imp,stage3,s64_dist32_addr16,l1d,ddr4_1x,0.008574,8574307110.0,24424718.0,25748670.0,0.949,61833.0,9162792.0,28526.0,88458.0,562922.0,64160.0,3343.0,nan,nan,nan
quick_imp3_s64_dist32_addr16_l1d_ddr4_2x,quick,imp,stage3,s64_dist32_addr16,l1d,ddr4_2x,0.00853,8529559902.0,24424723.0,25614294.0,0.953978,62716.0,9163570.0,28565.0,88446.0,574801.0,64072.0,3333.0,nan,nan,nan
quick_imp3_s64_dist32_addr16_l2_ddr4_1x,quick,imp,stage3,s64_dist32_addr16,l2,ddr4_1x,0.009208,9207651465.0,24424723.0,27650605.0,0.883723,276429.0,9250449.0,14225.0,82826.0,nan,nan,nan,428071.0,14280.0,75.0
quick_imp3_s64_dist8_addr16_l1d_ddr4_2x,quick,imp,stage3,s64_dist8_addr16,l1d,ddr4_2x,0.00853,8529559902.0,24424723.0,25614294.0,0.953978,62716.0,9163570.0,28565.0,88446.0,574801.0,64072.0,3333.0,nan,nan,nan
quick_imp3_s64_dist8_addr16_l2_ddr4_1x,quick,imp,stage3,s64_dist8_addr16,l2,ddr4_1x,0.009208,9207651465.0,24424723.0,27650605.0,0.883723,276429.0,9250449.0,14225.0,82826.0,nan,nan,nan,428071.0,14280.0,75.0
